pl_controv_flag,pl_name,hostname,pl_letter,sy_snum,discoverymethod,disc_year,pl_radj,pl_massj,st_spectype,st_rad,st_mass,st_met,st_lum,st_teff,st_rad.1
0,WASP-151 b,WASP-151,b,1,Transit,2017,1.187,0.316,G1,1.181,1.081,0.1,0.14485,5871.0,1.181
0,WASP-153 b,WASP-153,b,1,Transit,2017,1.55,0.39,G0,1.73,1.336,0.34,0.45958,5914.0,1.73
0,HD 34445 d,HD 34445,d,1,Radial Velocity,2017,0.542,,G0 V,1.38,1.07,0.14,0.3032,5836.0,1.38
0,K2-131 b,K2-131,b,1,Transit,2017,0.15077196,0.0248561797057995,,0.7595,0.803,-0.04,-0.47906,5120.0,0.7595
0,K2-343 c,K2-343,c,1,Transit,2021,0.18021264,,,0.46,0.49,-0.1,-1.43852,3804.0,0.46
0,HD 33844 b,HD 33844,b,1,Radial Velocity,2015,1.19,,K0 III,5.39,1.84,0.27,1.17,4861.0,5.39
0,WASP-90 b,WASP-90,b,1,Transit,2016,1.63,0.63,F6,1.98,1.55,0.11,0.63014,6430.0,1.98
0,HD 113996 b,HD 113996,b,2,Radial Velocity,2017,1.14,,K5 III,25.11,1.49,0.13,2.46389,4181.0,25.11
0,HD 147379 b,HD 147379,b,2,Radial Velocity,2017,0.44,,M0.0 V,0.628304,0.58,0.16,-1.09691,4090.0,0.628304
0,HATS-51 b,HATS-51,b,1,Transit,2017,1.41,0.768,,1.44,1.187,,0.30963,5758.0,1.44
0,NGTS-1 b,NGTS-1,b,1,Transit,2017,1.33,0.812,M0.5,0.573,0.617,0.0,-1.15326,3916.0,0.573
0,K2-348 b,K2-348,b,1,Transit,2021,0.29083822,,,0.85,0.83,0.13,-0.38844,5077.0,0.85
0,HD 143105 b,HD 143105,b,1,Radial Velocity,2016,1.22,,F5,1.647304,1.51,0.15,0.55557,6380.0,1.647304
0,HD 35759 b,HD 35759,b,1,Radial Velocity,2016,1.16,,G0,1.759974,1.15,0.04,0.53724,6060.0,1.759974
0,KELT-4 A b,KELT-4 A,b,3,Transit,2016,1.699,0.902,F,1.603,1.201,-0.116,0.53529,6206.0,1.603
0,Pr0211 c,Pr0211,c,2,Radial Velocity,2016,1.12,,,0.827,0.935,0.18,-0.33603,5300.0,0.827
0,HATS-53 b,HATS-53,b,1,Transit,2017,1.34,0.595,,1.101,0.964,,0.04532,5644.0,1.101
0,K2-352 c,K2-352,c,1,Transit,2021,0.17129122,,,0.95,0.98,-0.05,-0.06326,5791.0,0.95
0,WASP-124 b,WASP-124,b,1,Transit,2016,1.24,0.6,F9,1.02,1.07,-0.02,0.14934,6050.0,1.02
0,WASP-126 b,WASP-126,b,1,Transit,2016,0.93796109,0.284114149073404,G2,1.27,1.12,0.2068,0.15879,5800.0,1.27
0,HD 191806 b,HD 191806,b,1,Radial Velocity,2016,1.12,9.334,K0,1.40223,1.07,0.3,0.3483,6010.0,1.40223
0,K2-141 c,K2-141,c,1,Transit,2018,0.62449925,0.0251708148919489,K7 V,0.681,0.708,0.0,-0.75,4570.0,0.681
0,BD+48 740 b,BD+48 740,b,1,Radial Velocity,2018,1.2,,K3 III,10.33,1.09,-0.13,1.64,4534.0,10.33
0,K2-148 c,K2-148,c,2,Transit,2018,0.15434026,,,0.632,0.65,-0.11,-0.99568,4079.0,0.632
0,K2-149 b,K2-149,b,1,Transit,2018,0.146311,,M1.0 V,0.568,0.595,0.11,-1.3098,3745.0,0.568
0,G 9-40 b,G 9-40,b,1,Transit,2019,0.16950694,0.0125854074459745,M2.5 V,0.3026,0.2952,-0.07,-1.96019,3395.0,0.3026
0,HATS-29 b,HATS-29,b,1,Transit,2016,1.251,0.653,G,1.073,1.032,0.16,0.02938,5670.0,1.073
1,V830 Tau b,V830 Tau,b,1,Radial Velocity,2016,1.25,0.7,,2.0,1.0,-0.08,0.08,4250.0,2.0
0,K2-233 b,K2-233,b,1,Transit,2018,0.11731664,0.00755124446758467,K3,0.71,0.79,-0.082,-0.52288,4796.0,0.71
0,K2-232 b,K2-232,b,1,Transit,2018,1.0,0.398,,1.161,1.188,0.1,0.23805,6154.0,1.161
0,K2-211 b,K2-211,b,1,Transit,2018,0.1188,,,0.818,0.851,0.134,-0.383,5117.0,0.818
0,K2-221 b,K2-221,b,1,Transit,2018,0.14978167,,,0.947599,1.010842,0.13,-0.06367,5716.0,0.947599
0,K2-215 b,K2-215,b,1,Transit,2018,0.18947385,,,0.974398,0.999987,0.11,-0.02639,5704.0,0.974398
0,K2-217 b,K2-217,b,1,Transit,2018,0.31925602,,,1.333718,1.102661,0.04,0.23239,5967.0,1.333718
0,K2-183 d,K2-183,d,1,Transit,2018,0.20519261,,,0.87,0.942219,0.09,-0.13179,5482.0,0.87
0,K2-163 b,K2-163,b,1,Transit,2018,0.22001134,,,0.762201,0.826112,0.14,-0.54141,4937.0,0.762201
0,K2-162 b,K2-162,b,1,Transit,2018,0.1284682,,,0.69,0.75,-0.17,-0.65691,4842.0,0.69
0,K2-165 b,K2-165,b,1,Transit,2018,0.11369762,,,0.803827,0.834847,-0.05,-0.36982,5185.0,0.803827
0,K2-205 b,K2-205,b,1,Transit,2018,0.17802906,,,1.077574,0.951027,-0.26,0.19406,5890.0,1.077574
0,K2-204 b,K2-204,b,1,Transit,2018,0.283,,,1.253,1.076,0.21,0.19866,5783.0,1.253
0,K2-381 d,K2-381,d,1,Transit,2022,0.15068275,,,0.675,0.754,-0.244,-0.73923,4473.0,0.675
0,TOI-620 b,TOI-620,b,1,Transit,2022,0.33544531,,M2.5 V,0.55,0.577,0.35,-1.28819,3708.0,0.55
0,CoRoT-7 d,CoRoT-7,d,1,Radial Velocity,2022,0.384,0.0539347636097235,G9 V,0.8389,0.915,0.12,-0.28938,5250.0,0.8389
0,Kepler-281 c,Kepler-281,c,1,Transit,2014,0.474,0.506952797331297,,0.899,0.95,0.02,0.14638,5723.0,0.899
0,TYC 2187-512-1 b,TYC 2187-512-1,b,1,Radial Velocity,2022,1.12,,M1.0 V,0.495,0.498,0.08,-1.38091,3734.0,0.495
0,Kepler-451 c,2MASS J19383260+4603591,c,2,Eclipse Timing Variations,2022,1.21,,,0.203,0.48,-0.092,1.45,29564.0,0.203
0,CoRoT-36 b,CoRoT-36,b,1,Transit,2022,1.41,0.68,F3 V,1.52,1.32,-0.1,0.81257,6730.0,1.52
0,TOI-871 b,TOI-871,b,1,Transit,2024,0.14845239,,,0.719,0.758,-0.07,-0.56004,4929.0,0.719
0,Gl 49 b,Gl 49,b,2,Radial Velocity,2019,0.2,,M1.5 V,0.511,0.515,0.13,-1.30645,3805.0,0.511
0,Kepler-805 b,Kepler-805,b,1,Transit,2016,0.25782853,,,1.65,1.19,-0.06,0.5408,6112.0,1.65
0,TOI-1301.01,TOI-1301,b,1,Transit,2024,0.22098352,,,0.732,0.77,,-0.59857,4820.0,0.732
